component,config,configured_component_weight,cosine_with_v,effective_weight,gradient_norm,loss,timestep,weighted_gradient_norm,weighted_to_v_gradient_ratio,zero_gradient
v_loss,v_baseline_replay,0.0,1.0,1.0,1.2208435535430908,0.6460279226303101,10,1.2208435535430908,1.0,False
ordered_xy,v_baseline_replay,0.0,0.6763074398040771,0.0,0.004449205938726664,0.0015702596865594387,10,0.0,0.0,False
edge_vector,v_baseline_replay,0.0,0.5275019407272339,0.0,2.171820878982544,0.869147777557373,10,0.0,0.0,False
segment_length,v_baseline_replay,0.0,0.48992207646369934,0.0,3.154601573944092,0.9786258339881897,10,0.0,0.0,False
chain_length,v_baseline_replay,0.0,0.4764351546764374,0.0,3.7344958782196045,0.7776716947555542,10,0.0,0.0,False
temporal_edge,v_baseline_replay,0.0,0.4034348428249359,0.0,6.440671443939209,2.1696410179138184,10,0.0,0.0,False
tail_ordered,v_baseline_replay,0.0,0.44619059562683105,0.0,5.966856956481934,2.9023756980895996,10,0.0,0.0,False
tail_edge_vector,v_baseline_replay,0.0,0.3503292202949524,0.0,9.854044914245605,3.911766529083252,10,0.0,0.0,False
tail_segment,v_baseline_replay,0.0,0.2865976095199585,0.0,12.277100563049316,3.9380109310150146,10,0.0,0.0,False
tail_chain,v_baseline_replay,0.0,0.24939611554145813,0.0,7.709899425506592,1.5827662944793701,10,0.0,0.0,False
v_loss,v_baseline_replay,0.0,1.0,1.0,0.4491111934185028,0.2878420650959015,50,0.4491111934185028,1.0,False
ordered_xy,v_baseline_replay,0.0,0.5058017373085022,0.0,0.01690410077571869,0.007800397928804159,50,0.0,0.0,False
edge_vector,v_baseline_replay,0.0,0.2600459158420563,0.0,3.2440545558929443,1.9891189336776733,50,0.0,0.0,False
segment_length,v_baseline_replay,0.0,0.24046233296394348,0.0,5.468718528747559,2.7155354022979736,50,0.0,0.0,False
chain_length,v_baseline_replay,0.0,0.24347491562366486,0.0,5.667930603027344,2.6608047485351562,50,0.0,0.0,False
temporal_edge,v_baseline_replay,0.0,0.18880687654018402,0.0,9.488812446594238,4.430478096008301,50,0.0,0.0,False
tail_ordered,v_baseline_replay,0.0,0.35416358709335327,0.0,9.45405387878418,5.930447578430176,50,0.0,0.0,False
tail_edge_vector,v_baseline_replay,0.0,0.17695432901382446,0.0,13.988883018493652,7.089143753051758,50,0.0,0.0,False
tail_segment,v_baseline_replay,0.0,0.142144575715065,0.0,18.789060592651367,7.744825839996338,50,0.0,0.0,False
tail_chain,v_baseline_replay,0.0,0.13387152552604675,0.0,12.085623741149902,3.6775641441345215,50,0.0,0.0,False
v_loss,v_baseline_replay,0.0,1.0,1.0,1.3077664375305176,0.5332509875297546,90,1.3077664375305176,1.0,False
ordered_xy,v_baseline_replay,0.0,0.7881321310997009,0.0,0.06368732452392578,0.014159020967781544,90,0.0,0.0,False
edge_vector,v_baseline_replay,0.0,0.0491582415997982,0.0,1.1766115427017212,0.4552825093269348,90,0.0,0.0,False
segment_length,v_baseline_replay,0.0,-0.03416446968913078,0.0,1.7608232498168945,0.39420410990715027,90,0.0,0.0,False
chain_length,v_baseline_replay,0.0,-0.044916123151779175,0.0,1.9269734621047974,0.24774160981178284,90,0.0,0.0,False
temporal_edge,v_baseline_replay,0.0,-0.016524862498044968,0.0,3.5303592681884766,1.117917537689209,90,0.0,0.0,False
tail_ordered,v_baseline_replay,0.0,0.689045250415802,0.0,10.398645401000977,5.420908451080322,90,0.0,0.0,False
tail_edge_vector,v_baseline_replay,0.0,-0.0020729242824018,0.0,5.065554618835449,2.0271902084350586,90,0.0,0.0,False
tail_segment,v_baseline_replay,0.0,-0.020323138684034348,0.0,6.865633487701416,1.8054304122924805,90,0.0,0.0,False
tail_chain,v_baseline_replay,0.0,-0.00703473249450326,0.0,4.090299129486084,0.6664968729019165,90,0.0,0.0,False
v_loss,v_baseline_replay,0.0,1.0,1.0,1.9352902173995972,1.1624375581741333,99,1.9352902173995972,1.0,False
ordered_xy,v_baseline_replay,0.0,0.914865255355835,0.0,0.11033276468515396,0.04026876017451286,99,0.0,0.0,False
edge_vector,v_baseline_replay,0.0,0.05652141198515892,0.0,0.9303426146507263,0.29450076818466187,99,0.0,0.0,False
segment_length,v_baseline_replay,0.0,-0.0021241852082312107,0.0,1.189867615699768,0.15804065763950348,99,0.0,0.0,False
chain_length,v_baseline_replay,0.0,-0.00654303515329957,0.0,0.8351048231124878,0.04490089416503906,99,0.0,0.0,False
temporal_edge,v_baseline_replay,0.0,-0.007750049699097872,0.0,2.652618169784546,0.6169699430465698,99,0.0,0.0,False
tail_ordered,v_baseline_replay,0.0,0.7756922841072083,0.0,8.535064697265625,7.678711414337158,99,0.0,0.0,False
tail_edge_vector,v_baseline_replay,0.0,0.01577642560005188,0.0,4.090987205505371,1.3292136192321777,99,0.0,0.0,False
tail_segment,v_baseline_replay,0.0,-0.0030668312683701515,0.0,5.302568435668945,0.9385446310043335,99,0.0,0.0,False
tail_chain,v_baseline_replay,0.0,-0.0021185188088566065,0.0,3.139004945755005,0.2667558789253235,99,0.0,0.0,False
v_loss,edge_length,0.0,1.0,1.0,1.4024415016174316,0.591806173324585,10,1.4024415016174316,1.0,False
ordered_xy,edge_length,0.0,0.694547176361084,0.0,0.004567523021250963,0.001143942354246974,10,0.0,0.0,False
edge_vector,edge_length,1.0,0.559471845626831,0.3,2.3701674938201904,0.5911029577255249,10,0.7110502481460571,0.5070088465907526,False
segment_length,edge_length,1.0,0.4669395089149475,0.3,3.171929121017456,0.5826920866966248,10,0.9515787363052368,0.678515813463723,False
chain_length,edge_length,0.1,0.4758499264717102,0.03,3.3927478790283203,0.33263251185417175,10,0.1017824363708496,0.07257517426107557,False
temporal_edge,edge_length,0.0,0.4304904639720917,0.0,7.818279266357422,1.5621631145477295,10,0.0,0.0,False
tail_ordered,edge_length,0.0,0.5085518956184387,0.0,6.697193145751953,2.452890396118164,10,0.0,0.0,False
tail_edge_vector,edge_length,0.0,0.36651748418807983,0.0,11.001437187194824,2.925008773803711,10,0.0,0.0,False
tail_segment,edge_length,0.0,0.28251755237579346,0.0,13.578751564025879,2.8177456855773926,10,0.0,0.0,False
tail_chain,edge_length,0.0,0.24663205444812775,0.0,9.177248001098633,1.0109171867370605,10,0.0,0.0,False
v_loss,edge_length,0.0,1.0,1.0,0.5299646258354187,0.38659629225730896,50,0.5299646258354187,1.0,False
ordered_xy,edge_length,0.0,0.4967798590660095,0.0,0.01612139493227005,0.005139338783919811,50,0.0,0.0,False
edge_vector,edge_length,1.0,0.13166102766990662,0.3,2.5943920612335205,0.43998345732688904,50,0.7783176183700561,1.4686218295101148,False
segment_length,edge_length,1.0,0.07098889350891113,0.3,3.1320455074310303,0.3184056878089905,50,0.939613652229309,1.7729742824780677,False
chain_length,edge_length,0.1,0.08005432039499283,0.03,2.5579216480255127,0.12595194578170776,50,0.07673764944076537,0.1447976821468012,False
temporal_edge,edge_length,0.0,0.08981920033693314,0.0,7.0998921394348145,1.1682195663452148,50,0.0,0.0,False
tail_ordered,edge_length,0.0,0.31686657667160034,0.0,9.975150108337402,4.672828674316406,50,0.0,0.0,False
tail_edge_vector,edge_length,0.0,0.08311717957258224,0.0,11.977261543273926,2.0545973777770996,50,0.0,0.0,False
tail_segment,edge_length,0.0,0.057771261781454086,0.0,15.358538627624512,1.722353219985962,50,0.0,0.0,False
tail_chain,edge_length,0.0,0.04537498205900192,0.0,9.19871997833252,0.5511487722396851,50,0.0,0.0,False
v_loss,edge_length,0.0,1.0,1.0,1.9334348440170288,0.7433404922485352,90,1.9334348440170288,1.0,False
ordered_xy,edge_length,0.0,0.8806386590003967,0.0,0.11846805363893509,0.01885037310421467,90,0.0,0.0,False
edge_vector,edge_length,1.0,0.18127332627773285,0.3,0.6907770037651062,0.20396144688129425,90,0.20723310112953186,0.1071839073195614,False
segment_length,edge_length,1.0,0.011320230551064014,0.3,0.7170912027359009,0.0733460932970047,90,0.21512736082077025,0.11126693070960063,False
chain_length,edge_length,0.1,0.048092130571603775,0.03,0.2784886360168457,0.010718569159507751,90,0.00835465908050537,0.004321148502293044,False
temporal_edge,edge_length,0.0,-0.015500429086387157,0.0,2.08804988861084,0.43034297227859497,90,0.0,0.0,False
tail_ordered,edge_length,0.0,0.7602406144142151,0.0,18.046762466430664,6.394507884979248,90,0.0,0.0,False
tail_edge_vector,edge_length,0.0,0.03372572734951973,0.0,3.446345567703247,1.0504755973815918,90,0.0,0.0,False
tail_segment,edge_length,0.0,0.009364298544824123,0.0,4.678157329559326,0.5528614521026611,90,0.0,0.0,False
tail_chain,edge_length,0.0,0.03399387374520302,0.0,2.723881244659424,0.15627941489219666,90,0.0,0.0,False
v_loss,edge_length,0.0,1.0,1.0,3.760284423828125,1.2419785261154175,99,3.760284423828125,1.0,False
ordered_xy,edge_length,0.0,0.9031310677528381,0.0,0.2154090702533722,0.041192181408405304,99,0.0,0.0,False
edge_vector,edge_length,1.0,0.2838556468486786,0.3,0.5965561270713806,0.1770506203174591,99,0.17896683812141417,0.04759396310218963,False
segment_length,edge_length,1.0,-0.06131705641746521,0.3,0.4671212136745453,0.06364478170871735,99,0.14013636410236358,0.03726749051596979,False
chain_length,edge_length,0.1,-0.07150794565677643,0.03,0.4730915427207947,0.03142786771059036,99,0.01419274628162384,0.003774381052584059,False
temporal_edge,edge_length,0.0,0.03133585676550865,0.0,1.8634580373764038,0.2970857620239258,99,0.0,0.0,False
tail_ordered,edge_length,0.0,0.8157384991645813,0.0,15.946189880371094,8.148314476013184,99,0.0,0.0,False
tail_edge_vector,edge_length,0.0,0.09595844894647598,0.0,2.615598201751709,0.8360934257507324,99,0.0,0.0,False
tail_segment,edge_length,0.0,0.0028170556761324406,0.0,2.695749521255493,0.4296398162841797,99,0.0,0.0,False
tail_chain,edge_length,0.0,-0.04610022157430649,0.0,2.199033260345459,0.1976032853126526,99,0.0,0.0,False
