policy,condition,visible_seed,episode_idx,step_idx,fraction_before,fraction_after,fraction_delta,done_after,reward,model_x_ood_l2,model_x_ood_mean_abs,input_nn_l2,future_std_mean,future_norm,future_nn_l2,future_nn_mae,future_nearest_condition,future_condition_match,chosen_action_ood,chosen_clip_frac,chosen_pose0_x,chosen_pose0_y,chosen_pose1_x,chosen_pose1_y,chosen_pull_len,chosen_pose0_step_delta,chosen_pose1_step_delta,old_action_ood,old_clip_frac,old_pose0_x,old_pose0_y,old_pose1_x,old_pose1_y,old_pull_len,default_action_ood,default_clip_frac,default_pose0_x,default_pose0_y,default_pose1_x,default_pose1_y,default_pull_len,best_action_ood,best_clip_frac,best_pose0_x,best_pose0_y,best_pose1_x,best_pose1_y,best_pull_len,scope
old_state_action,free,310000,0,0,0.2916666666666667,0.75,0.4583333333333333,0,0.4583333333333333,nan,nan,0.018113048747181892,0.0382796935737133,0.45583513379096985,0.04736749455332756,0.021652674302458763,hidden_high_friction,0,0.2993757724761963,0.0,0.5531805753707886,0.013749182224273682,0.4609924554824829,-0.06615421175956726,0.12199673056602478,nan,nan,0.2993757724761963,0.0,0.5531805753707886,0.013749182224273682,0.4609924554824829,-0.06615421175956726,0.12199673056602478,0.22853140532970428,0.0,0.5609606504440308,0.03436790406703949,0.4688461720943451,-0.04580618813633919,0.12211863696575165,0.26552897691726685,0.0,0.562598705291748,0.04428333044052124,0.4739370048046112,-0.0412130132317543,0.12316866964101791,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,1,0.75,0.7083333333333334,-0.04166666666666663,0,-0.04166666666666663,nan,nan,0.047690510749816895,0.03867866471409798,0.4546472430229187,0.04562123119831085,0.021079864352941513,hidden_high_friction,0,0.13600459694862366,0.0,0.5320208072662354,-0.016747791320085526,0.5269050598144531,0.022418659180402756,0.03949913755059242,0.03711874410510063,0.11040663719177246,0.13600459694862366,0.0,0.5320208072662354,-0.016747791320085526,0.5269050598144531,0.022418659180402756,0.03949913755059242,0.20346181094646454,0.0,0.5297490358352661,-0.021323325112462044,0.531116247177124,0.025089364498853683,0.046432822942733765,0.29936033487319946,0.0,0.513455331325531,-0.019931918010115623,0.5426557064056396,0.008397050201892853,0.0406840555369854,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,2,0.7083333333333334,0.7083333333333334,0.0,0,0.0,nan,nan,0.049157217144966125,0.038214344531297684,0.4544665515422821,0.04661606624722481,0.02124001830816269,hidden_high_friction,0,0.0969785824418068,0.0,0.5162614583969116,-0.026634305715560913,0.5120822787284851,-0.009053622372448444,0.018070584163069725,0.018603770062327385,0.03478820621967316,0.0969785824418068,0.0,0.5162614583969116,-0.026634305715560913,0.5120822787284851,-0.009053622372448444,0.018070584163069725,0.12472567707300186,0.0,0.5305450558662415,0.011320104822516441,0.5258730053901672,0.0117308609187603,0.004690072033554316,0.14583955705165863,0.0,0.5143635869026184,-0.0008623041212558746,0.5370877981185913,-0.011244524270296097,0.0249836016446352,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,3,0.7083333333333334,0.5833333333333334,-0.125,0,-0.125,nan,nan,0.05220935866236687,0.038987018167972565,0.45384734869003296,0.04286728799343109,0.01928737387061119,hidden_high_friction,0,0.18817764520645142,0.0,0.49100926518440247,0.0040073394775390625,0.4796724319458008,0.0051262956112623215,0.011391920037567616,0.039706215262413025,0.03537609800696373,0.18817764520645142,0.0,0.49100926518440247,0.0040073394775390625,0.4796724319458008,0.0051262956112623215,0.011391920037567616,0.09396609663963318,0.0,0.5116508603096008,-0.00590401329100132,0.5080353617668152,-0.028814934194087982,0.023194441571831703,0.09125889092683792,0.0,0.5060244202613831,-0.004016511142253876,0.5153208374977112,-0.03315533325076103,0.03058585152029991,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,4,0.5833333333333334,0.625,0.04166666666666663,0,0.04166666666666663,nan,nan,0.04870915412902832,0.03822241723537445,0.45850759744644165,0.04811348021030426,0.021883858367800713,hidden_high_friction,0,0.2587389647960663,0.0,0.4858703911304474,0.008496325463056564,0.5011582374572754,0.051742471754550934,0.045868806540966034,0.006823417264968157,0.05132940411567688,0.2587389647960663,0.0,0.4858703911304474,0.008496325463056564,0.5011582374572754,0.051742471754550934,0.045868806540966034,0.18942171335220337,0.0,0.5183541178703308,0.007520971819758415,0.5364230871200562,0.05148887634277344,0.04753592237830162,0.21053968369960785,0.0,0.5125990509986877,0.027617009356617928,0.5448551774024963,0.03695973753929138,0.03358190506696701,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,5,0.625,0.625,0.0,0,0.0,nan,nan,0.04817900434136391,0.038852520287036896,0.45362743735313416,0.04594215750694275,0.021631434559822083,hidden_high_friction,0,0.24453085660934448,0.0,0.4837755560874939,-0.004127517342567444,0.48026594519615173,0.05696044862270355,0.061188697814941406,0.012796473689377308,0.021534046158194542,0.24453085660934448,0.0,0.4837755560874939,-0.004127517342567444,0.48026594519615173,0.05696044862270355,0.061188697814941406,0.19193369150161743,0.0,0.5173667669296265,-0.0031467173248529434,0.5052930116653442,0.07855416089296341,0.08258818835020065,0.2378796637058258,0.0,0.5079396367073059,0.013992944732308388,0.5188656449317932,0.06945490092039108,0.05652792751789093,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,6,0.625,0.5416666666666666,-0.08333333333333337,0,-0.08333333333333337,nan,nan,0.04569995775818825,0.03846706822514534,0.45657065510749817,0.04736264795064926,0.02488747425377369,hidden_breakaway_pin,0,0.2574659287929535,0.0,0.5004042983055115,0.006970833986997604,0.5186775326728821,-0.033716604113578796,0.04460245370864868,0.01999220997095108,0.09847729653120041,0.2574659287929535,0.0,0.5004042983055115,0.006970833986997604,0.5186775326728821,-0.033716604113578796,0.04460245370864868,0.165828675031662,0.0,0.5052750110626221,-0.012269662693142891,0.5263510942459106,0.010781604796648026,0.03123399056494236,0.1784251481294632,0.0,0.49659910798072815,-0.002629760652780533,0.5309188365936279,-0.010800043120980263,0.03527884930372238,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,7,0.5416666666666666,0.5416666666666666,0.0,0,0.0,nan,nan,0.044897958636283875,0.039007093757390976,0.4596542716026306,0.04604611173272133,0.02413427084684372,hidden_breakaway_pin,0,0.23460961878299713,0.0,0.4992939829826355,-0.009143305942416191,0.5049092173576355,0.013416126370429993,0.023247770965099335,0.01615234650671482,0.049102552235126495,0.23460961878299713,0.0,0.4992939829826355,-0.009143305942416191,0.5049092173576355,0.013416126370429993,0.023247770965099335,0.16065965592861176,0.0,0.5139170289039612,-0.02962440811097622,0.5236510038375854,0.007917527109384537,0.03878333419561386,0.18935605883598328,0.0,0.5001663565635681,-0.007619945332407951,0.5250195264816284,0.009361974895000458,0.030100924894213676,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,8,0.5416666666666666,0.5416666666666666,0.0,0,0.0,nan,nan,0.04964566230773926,0.03953832760453224,0.4528961479663849,0.04226619377732277,0.019110707566142082,hidden_high_friction,0,0.24965907633304596,0.0,0.4961094856262207,0.0017475597560405731,0.5088378190994263,0.01615142449736595,0.01922190934419632,0.011346893385052681,0.0047870418056845665,0.24965907633304596,0.0,0.4961094856262207,0.0017475597560405731,0.5088378190994263,0.01615142449736595,0.01922190934419632,0.14395581185817719,0.0,0.522497832775116,0.011241832748055458,0.5340191721916199,0.03205220028758049,0.023786816745996475,0.16234968602657318,0.0,0.5099729895591736,0.022898850962519646,0.5425052046775818,0.023062996566295624,0.03253262862563133,phase3_10b_future_rollout_audit_no_phase4_no_cps
old_state_action,free,310000,0,9,0.5416666666666666,0.625,0.08333333333333337,0,0.08333333333333337,nan,nan,0.04878706485033035,0.039516158401966095,0.4570056200027466,0.0434207022190094,0.018610799685120583,hidden_high_friction,0,0.25131872296333313,0.0,0.5058025121688843,0.009706266224384308,0.5304146409034729,-0.006642905063927174,0.02954745851457119,0.012541760690510273,0.03138694912195206,0.25131872296333313,0.0,0.5058025121688843,0.009706266224384308,0.5304146409034729,-0.006642905063927174,0.02954745851457119,0.20437836647033691,0.0,0.5216127634048462,0.005335541442036629,0.5594621896743774,-0.0008807498961687088,0.03835650160908699,0.2294580340385437,0.0,0.5103300213813782,0.01735035516321659,0.5573843121528625,0.00105975940823555,0.049794476479291916,phase3_10b_future_rollout_audit_no_phase4_no_cps
