seed_cohort,condition,selector,num_pairs,paired_mean_gain,paired_median_gain,positive_pairs,negative_pairs
phase312_seed_block,free,ddpm_mean,4,0.0,0.0,0,0
phase312_seed_block,free,condition_nearest_upper,4,-0.0625,-0.041666666666666664,0,2
phase312_seed_block,free,proxy_state_motion_nn,4,0.041666666666666664,0.04166666666666667,3,0
phase312_seed_block,free,proxy_combined_topk_action_geom,4,0.010416666666666668,0.020833333333333336,2,1
phase312_seed_block,hidden_breakaway_pin,ddpm_mean,4,0.0,0.0,0,0
phase312_seed_block,hidden_breakaway_pin,condition_nearest_upper,4,-0.05208333333333334,0.0,1,1
phase312_seed_block,hidden_breakaway_pin,proxy_state_motion_nn,4,-0.07291666666666667,0.0,0,1
phase312_seed_block,hidden_breakaway_pin,proxy_combined_topk_action_geom,4,-0.07291666666666667,0.0,0,1
phase312_seed_block,hidden_high_friction,ddpm_mean,4,0.0,0.0,0,0
phase312_seed_block,hidden_high_friction,condition_nearest_upper,4,-0.14583333333333334,-0.10416666666666667,0,2
phase312_seed_block,hidden_high_friction,proxy_state_motion_nn,4,-0.20833333333333334,-0.10416666666666667,0,2
phase312_seed_block,hidden_high_friction,proxy_combined_topk_action_geom,4,-0.08333333333333334,-0.0625,0,2
phase312b_seed_block,free,ddpm_mean,4,0.0,0.0,0,0
phase312b_seed_block,free,condition_nearest_upper,4,0.03125,0.0,1,0
phase312b_seed_block,free,proxy_state_motion_nn,4,0.11458333333333334,0.125,3,0
phase312b_seed_block,free,proxy_combined_topk_action_geom,4,0.010416666666666666,0.0,1,0
phase312b_seed_block,hidden_breakaway_pin,ddpm_mean,4,0.0,0.0,0,0
phase312b_seed_block,hidden_breakaway_pin,condition_nearest_upper,4,0.020833333333333332,0.0,1,0
phase312b_seed_block,hidden_breakaway_pin,proxy_state_motion_nn,4,0.052083333333333336,0.0,1,0
phase312b_seed_block,hidden_breakaway_pin,proxy_combined_topk_action_geom,4,0.0,0.0,0,0
phase312b_seed_block,hidden_high_friction,ddpm_mean,4,0.0,0.0,0,0
phase312b_seed_block,hidden_high_friction,condition_nearest_upper,4,0.020833333333333332,0.0,1,0
phase312b_seed_block,hidden_high_friction,proxy_state_motion_nn,4,0.0625,0.0625,2,0
phase312b_seed_block,hidden_high_friction,proxy_combined_topk_action_geom,4,0.0625,0.0625,2,0
